PID,Price,Area,City,No. of Bedrooms,Resale,SwimmingPool,ShoppingMall,24X7Security,PowerBackup,Hospital,AC,Furnished
6528,3,1000,6,2,1,0,1,0,0,0,1,0
3653,1,966,4,2,0,0,0,0,0,0,0,0
4809,1,780,5,2,1,5,5,5,5,5,5,5
1007,3,1404,1,3,0,1,0,1,1,0,1,1
3081,4,1250,3,3,1,0,0,0,0,0,0,0
5698,1,1904,5,3,0,5,5,5,5,5,5,5
1801,1,1062,2,2,0,0,0,0,0,0,0,0
7488,1,600,6,1,1,5,5,5,5,5,5,5
2854,1,720,3,3,1,0,0,0,0,0,0,0
3469,3,1320,4,2,1,1,0,1,1,0,1,1
2664,4,1200,3,2,1,0,0,0,0,0,0,0
2081,4,1800,3,3,1,0,0,0,1,0,0,0
3783,2,1050,4,2,0,0,0,0,1,0,0,0
228,3,1750,1,3,0,1,1,1,0,1,0,1
6097,3,1155,6,2,1,0,1,0,0,0,0,0
560,2,1129,1,2,0,1,0,1,1,0,0,1
4185,2,1020,4,2,1,0,0,0,1,0,0,0
61,3,1726,1,3,0,1,0,1,1,0,0,1
1530,1,570,2,1,0,1,0,0,1,0,0,0
509,2,1350,1,3,0,0,0,1,1,0,0,1
5203,1,812,5,2,1,5,5,5,5,5,5,5
1028,2,1055,1,2,0,0,0,1,1,0,0,1
745,2,1140,1,2,0,1,0,1,1,0,0,1
671,2,1098,1,2,0,1,0,0,1,0,0,0
3284,1,1170,4,2,0,0,0,0,0,0,0,0
2132,4,1900,3,3,1,0,0,1,1,0,1,0
2130,4,1900,3,3,1,0,0,0,1,0,1,0
7226,4,600,6,1,1,0,0,0,0,0,0,0
1042,2,1095,1,2,0,0,0,0,1,0,0,1
5046,2,1522,5,3,1,5,5,5,5,5,5,5
685,3,1380,1,2,0,1,0,1,1,0,0,1
6194,2,550,6,1,1,0,1,0,0,1,0,0
5443,1,770,5,2,0,5,5,5,5,5,5,5
4262,3,1695,4,3,0,1,1,1,1,0,0,1
2092,4,1800,3,3,1,0,0,0,1,0,0,0
5652,1,720,5,1,1,5,5,5,5,5,5,5
972,3,1098,1,3,0,1,0,1,1,0,1,1
7088,4,1300,6,2,1,0,0,0,0,0,0,0
6922,2,700,6,1,1,0,1,0,0,0,0,0
4306,2,1405,4,3,0,0,0,0,0,0,0,0
7631,4,2150,6,3,1,5,5,5,5,5,5,5
5850,2,1760,5,3,0,5,5,5,5,5,5,5
2256,2,1080,3,3,1,0,0,0,0,0,0,0
7255,4,1150,6,2,1,0,1,0,0,0,0,0
1662,3,895,2,2,0,0,0,0,0,0,0,0
6729,4,1300,6,3,1,0,1,0,0,0,0,0
5472,3,1450,5,3,1,5,5,5,5,5,5,5
2609,1,350,3,1,0,0,0,0,0,0,0,0
7285,4,673,6,2,1,0,0,0,0,0,0,0
7232,4,680,6,1,1,0,0,1,0,0,1,0
6795,4,1350,6,3,1,0,0,0,0,0,1,0
2937,4,1750,3,3,1,0,0,0,0,0,0,0
3510,3,1090,4,2,0,0,0,0,1,0,0,0
7502,4,585,6,1,1,5,5,5,5,5,5,5
5002,3,1100,5,3,0,5,5,5,5,5,5,5
3361,3,1406,4,3,0,0,0,0,1,0,0,0
